inner_id,url,title,address,user_address,districts,metro,price,total_area,floor,sub_category,income,description,agent,images,vat_type,creation_time,publishing_time,parsing_time,coordinates_lat,coordinates_lng,agency_name,is_agent,user_type,experience,account_type,company_name,cian_profile_status,is_passport_verified,jk_url,deal_type,building_type,newbuilding_name,formatted_full_info,formatted_short_info,is_rosreestr_checked,category
305849864,https://www.cian.ru/sale/commercial/305849864/,Офис класса A  ·  314 м²  ·  5/23 этаж,"Москва, ЮЗАО, р-н Обручевский, Старокалужское ш., 64С1","Старокалужское ш, д 64 стр 1, Москва","р-н Обручевский, ЮЗАО","Калужская-walk-3,Воронцовская-walk-6",102992000,314.0,5,,,"ID: L8345<br>Эксклюзивное предложение! Лучшее инвестиционное предложение на рынке!<br>В продаже офисный блок 314 м2 в новом проекте класса А Stone Калужская.<br>Stone Калужская  премиальный офисный квартал, расположенный прямо у выхода из метро ""Калужская"".<br>Уникальная архитектура проекта - три офисные башни, объединенные общим стилобатом. <br>Панорамное остекление. Самые современные инженерные системы. <br>Благоустроенная озелененная территория, связывающая офисные башни с метро.<br>Арт-объект на площади.<br>Транспортная инфраструктура  подземный паркинг, гостевой паркинг, паркинг для каршеринга, велодорожки, станции проката велосипедов и самокатов. <br>Полная инфраструктура от девелопера  кафе и веранды, бизнес-гостиная с кофейней, оборудованный конференц-зал, столовая для резидентов.<br>Выгодные условия приобретения - первый платеж от 10% + отложенный платеж.<br>Также предусмотрена комфортная рассрочка до конца строительства по привлекательной ставке!<br>Ежемесячное повышение цен! Успейте забронировать свой лот по самой выгодной цене!<br>Гарантированный рост стоимости объекта!<br>Звоните прямо сейчас!",Нелля Имаметдинова,"https://images.cdn-cian.ru/images/2241985782-1.jpg,https://images.cdn-cian.ru/images/2241985799-1.jpg,https://images.cdn-cian.ru/images/2241985810-1.jpg,https://images.cdn-cian.ru/images/2241985819-1.jpg,https://images.cdn-cian.ru/images/2241985828-1.jpg,https://images.cdn-cian.ru/images/2241985835-1.jpg,https://images.cdn-cian.ru/images/2241985841-1.jpg,https://images.cdn-cian.ru/images/2241985847-1.jpg,https://images.cdn-cian.ru/images/2241985854-1.jpg,https://images.cdn-cian.ru/images/2241985860-1.jpg,https://images.cdn-cian.ru/images/2241985864-1.jpg",included,2024-08-12T07:52:22+00:00,2025-03-22T14:01:58+03:00,2025-03-11 19:40:04 +0300,55.658479,37.537703,Нелля Имаметдинова,true,realtor_based,,specialist,Praedium,hide,true,,sale,businessCenter,,Офис класса A  ·  314 м²  ·  5/23 этаж,Офис класса A  ·  5/23 этаж,false,officeSale
295059440,https://www.cian.ru/sale/commercial/295059440/,"Офис класса B+  ·  242,7 м²  ·  1/4 этаж","Москва, ЮАО, р-н Даниловский, Холодильный пер., 3к1с4","Москва, Холодильный переулок, 3к1с4","р-н Даниловский, ЮАО","Тульская-walk-1,Шаболовская-walk-19,Серпуховская-transport-3",104361000,242.7,1,,,"Помещение  4109 находится на 1-м этаже в ЛОФТ-квартале Товарищество Рябовской <br>Мануфактуры (100 м от метро). Площадь 242,7 м2. <br>Выполнена современная отделка. <br>Высокие потолки и окна, кабинетная планировка, помещение готово к въезду, стильная, благоустроенная территория, свободный доступ 24/7 (без пропускной системы). <br>Товарищество Рябовской Мануфактуры - это лофт-квартал, где мы вместе создаем открытую среду для воплощения идей: больших и малых, отложенных в долгий ящик и требующих быстрой реализации, смелых и осторожных, быстрых и долгосрочных. <br>Наша концепция - это пространство для бизнеса, в котором можно не только комфортно работать, но и проводить время, заниматься спортом, посещать различные мероприятия для развития.<br> В нашем объекте мы сохранили историю квартала, историю города и построили новое пространство для взаимодействий.<br>Метро Тульская - район с развитой инфраструктурой, в пешей доступности находятся ТЦ Ереван плаза, Даниловский рынок, ТЦ Тульский, Арбитражный суд, Данилов монастырь, бизнес-центры, театры и объекты культуры.",Продаж Отдел,"https://images.cdn-cian.ru/images/2283709050-1.jpg,https://images.cdn-cian.ru/images/2283709064-1.jpg,https://images.cdn-cian.ru/images/2104268274-1.jpg,https://images.cdn-cian.ru/images/2104268292-1.jpg,https://images.cdn-cian.ru/images/2283709118-1.jpg,https://images.cdn-cian.ru/images/2283709136-1.jpg,https://images.cdn-cian.ru/images/2283709158-1.jpg,https://images.cdn-cian.ru/images/2283709175-1.jpg,https://images.cdn-cian.ru/images/2283709198-1.jpg,https://images.cdn-cian.ru/images/2283709212-1.jpg,https://images.cdn-cian.ru/images/2283709236-1.jpg,https://images.cdn-cian.ru/images/2283709257-1.jpg,https://images.cdn-cian.ru/images/2283709273-1.jpg,https://images.cdn-cian.ru/images/2283709290-1.jpg,https://images.cdn-cian.ru/images/2283709303-1.jpg,https://images.cdn-cian.ru/images/2283709320-1.jpg,https://images.cdn-cian.ru/images/2283709352-1.jpg",included,2023-11-14T16:17:28+00:00,2025-03-18T10:20:24+03:00,2025-03-11 19:40:04 +0300,55.708988,37.626502,Продаж Отдел,true,realtor_based,,specialist,Товарищество Рябовской Мануфактуры,hide,false,,sale,businessQuarter2,,"Офис класса B+  ·  242,7 м²  ·  1/4 этаж",Офис класса B+  ·  1/4 этаж,false,officeSale
314110203,https://www.cian.ru/sale/commercial/314110203/,"Офис класса A  ·  274,9 м²  ·  8/23 этаж","Москва, ЮВАО, р-н Лефортово, ул. Золоторожский Вал, 11С33","г. Москва, ул Золоторожский Вал, 11 стр. 33","р-н Лефортово, ЮВАО","Площадь Ильича-walk-6,Римская-walk-12",111059600,274.9,8,,,"Предлагается на продажу офисное помещение 274.9 кв. м в бизнес-центре ""STONE Римская"" от собственника. Площадь в стадии строительства, готовность к въезду уточняется по запросу. <br>Округ: Юго-Восточный (ЮВАО). Ближайшие станции метро: Площадь Ильича, Римская. <br>Характеристики:<br>- Вентиляция: Приточно-вытяжная; <br>- Кондиционирование: Центральное; <br>- Отделка: Без отделки. <br>Стоимость: 111 059 600.0 руб. <br>Возможно обсуждение конечной цены объекта. Услуги сопровождения сделки. Консалтинг, DueD. Подписание договора купли-продажи с собственником. Без комиссии, процентов и надбавок. Звоните, мы ответим на все интересующие вопросы. <br>ID = c_1576768",Bright Rich Moscow,"https://images.cdn-cian.ru/images/2410919044-1.jpg,https://images.cdn-cian.ru/images/2410919059-1.jpg,https://images.cdn-cian.ru/images/2410919083-1.jpg,https://images.cdn-cian.ru/images/2410919132-1.jpg,https://images.cdn-cian.ru/images/2410919187-1.jpg,https://images.cdn-cian.ru/images/2410919274-1.jpg,https://images.cdn-cian.ru/images/2410919373-1.jpg,https://images.cdn-cian.ru/images/2410919490-1.jpg,https://images.cdn-cian.ru/images/2410919586-1.jpg",included,2025-02-24T17:44:20+00:00,2025-03-23T04:25:16+03:00,2025-03-11 19:40:04 +0300,55.748326,37.684039,Bright Rich Moscow,true,realtor_based,,specialist,Bright Rich Moscow,hide,false,,sale,businessCenter,,"Офис класса A  ·  274,9 м²  ·  8/23 этаж",Офис класса A  ·  8/23 этаж,false,officeSale
314110210,https://www.cian.ru/sale/commercial/314110210/,"Офис класса A  ·  274,9 м²  ·  7/23 этаж","Москва, ЮВАО, р-н Лефортово, ул. Золоторожский Вал, 11С33","г. Москва, ул Золоторожский Вал, 11 стр. 33","р-н Лефортово, ЮВАО","Площадь Ильича-walk-6,Римская-walk-12",110509800,274.9,7,,,"Предлагается на продажу офисное помещение 274.9 кв. м в бизнес-центре ""STONE Римская"" от собственника. Площадь в стадии строительства, готовность к въезду уточняется по запросу. <br>Округ: Юго-Восточный (ЮВАО). Ближайшие станции метро: Площадь Ильича, Римская. <br>Характеристики:<br>- Вентиляция: Приточно-вытяжная; <br>- Кондиционирование: Центральное; <br>- Отделка: Без отделки. <br>Стоимость: 110 509 800.0 руб. <br>Возможно обсуждение конечной цены объекта. Услуги сопровождения сделки. Консалтинг, DueD. Подписание договора купли-продажи с собственником. Без комиссии, процентов и надбавок. Звоните, мы ответим на все интересующие вопросы. <br>ID = c_1577101",Bright Rich Moscow,"https://images.cdn-cian.ru/images/2410918287-1.jpg,https://images.cdn-cian.ru/images/2410918292-1.jpg,https://images.cdn-cian.ru/images/2410918314-1.jpg,https://images.cdn-cian.ru/images/2410918346-1.jpg,https://images.cdn-cian.ru/images/2410918370-1.jpg,https://images.cdn-cian.ru/images/2410918432-1.jpg,https://images.cdn-cian.ru/images/2410918545-1.jpg,https://images.cdn-cian.ru/images/2410918687-1.jpg,https://images.cdn-cian.ru/images/2410918869-1.jpg",included,2025-02-24T17:44:24+00:00,2025-03-23T04:25:27+03:00,2025-03-11 19:40:04 +0300,55.748326,37.684039,Bright Rich Moscow,true,realtor_based,,specialist,Bright Rich Moscow,hide,false,,sale,businessCenter,,"Офис класса A  ·  274,9 м²  ·  7/23 этаж",Офис класса A  ·  7/23 этаж,false,officeSale
305714304,https://www.cian.ru/sale/commercial/305714304/,"Офис класса A  ·  274,9 м²  ·  5/23 этаж","Москва, ЮВАО, р-н Лефортово, ул. Золоторожский Вал, 11С1","Золоторожский Вал ул, д 11 стр 1, Москва","р-н Лефортово, ЮВАО","Площадь Ильича-walk-6,Римская-walk-12",110234900,274.9,5,,,"ID: L8127<br>Эксклюзивное предложение! Лучшее инвестиционное предложение на рынке!<br>В продаже офисный блок 274,9 м2 в новом проекте класса А Stone Римская.<br>Уникальная архитектура проекта - две офисные башни в стиле black&white, объединенных единым стилобатом.<br>Панорамное остекление. Пешая доступность от метро.<br>В стилобате будет реализовано мультиформатное пространство с зонами для свободной работы, кафе и рестораны, фитнес-студия, конференц-зал, лаунж пространства.<br>Самая современная инженерия. Передовые технологии.<br>Выгодные условия приобретения - первый платеж от 10% + отложенный платеж.<br>Предусмотрена комфортная рассрочка до конца строительства.<br>Ежемесячное повышение цен! Успейте забронировать свой лот по самой выгодной цене!<br>Звоните прямо сейчас!",Нелля Имаметдинова,"https://images.cdn-cian.ru/images/2241994893-1.jpg,https://images.cdn-cian.ru/images/2241994961-1.jpg,https://images.cdn-cian.ru/images/2241995047-1.jpg,https://images.cdn-cian.ru/images/2241995166-1.jpg,https://images.cdn-cian.ru/images/2241995273-1.jpg,https://images.cdn-cian.ru/images/2241995481-1.jpg,https://images.cdn-cian.ru/images/2241995797-1.jpg,https://images.cdn-cian.ru/images/2241996179-1.jpg,https://images.cdn-cian.ru/images/2241996554-1.jpg,https://images.cdn-cian.ru/images/2241996890-1.jpg",included,2024-08-08T07:29:11+00:00,2025-03-22T11:10:17+03:00,2025-03-11 19:40:07 +0300,55.748858,37.683033,Нелля Имаметдинова,true,realtor_based,,specialist,Praedium,hide,true,,sale,businessCenter,,"Офис класса A  ·  274,9 м²  ·  5/23 этаж",Офис класса A  ·  5/23 этаж,false,officeSale
313263240,https://www.cian.ru/sale/commercial/313263240/,Офис класса B  ·  666 м²  ·  4/22 этаж,"Москва, ЦАО, р-н Басманный, Рубцовская наб., 3С1","Москва, Рубцовская набережная, 3с1","р-н Басманный, ЦАО","Электрозаводская-walk-15,Бауманская-walk-15,Семёновская-transport-7",106560000,666.0,4,,,"БЕЗ КОМИССИИ! Бизнес-центр. Продаётся помещение свободной планировки на 4-м этаже площадью 666 кв.м. Стандартная офисная отделка. Есть охрана.НДС включен. Рубцовская набережная, 3с1, 7 минут пешком от метро Электрозаводская. <br> ЛОТ  206291",Отдел аренды коммерческой недвижимости,"https://images.cdn-cian.ru/images/2392667610-1.jpg,https://images.cdn-cian.ru/images/2392667612-1.jpg,https://images.cdn-cian.ru/images/2392667621-1.jpg,https://images.cdn-cian.ru/images/2392667624-1.jpg,https://images.cdn-cian.ru/images/2392667631-1.jpg,https://images.cdn-cian.ru/images/2392667634-1.jpg,https://images.cdn-cian.ru/images/2392667639-1.jpg,https://images.cdn-cian.ru/images/2392858405-1.jpg,https://images.cdn-cian.ru/images/2392858408-1.jpg,https://images.cdn-cian.ru/images/2392858412-1.jpg,https://images.cdn-cian.ru/images/2392858416-1.jpg,https://images.cdn-cian.ru/images/2392858422-1.jpg,https://images.cdn-cian.ru/images/2392858427-1.jpg,https://images.cdn-cian.ru/images/2392858434-1.jpg,https://images.cdn-cian.ru/images/2392858438-1.jpg,https://images.cdn-cian.ru/images/2392858444-1.jpg",included,2025-02-05T05:36:32+00:00,2025-03-24T00:16:32+03:00,2025-03-11 19:40:07 +0300,55.776618,37.699975,Отдел аренды коммерческой недвижимости,true,realtor_based,,specialist,Университет Мегаполис,hide,false,,sale,businessCenter,,Офис класса B  ·  666 м²  ·  4/22 этаж,Офис класса B  ·  4/22 этаж,false,officeSale
305849887,https://www.cian.ru/sale/commercial/305849887/,Офис класса A  ·  314 м²  ·  11/23 этаж,"Москва, ЮЗАО, р-н Обручевский, Старокалужское ш., 64С1","Старокалужское ш, д 64 стр 1, Москва","р-н Обручевский, ЮЗАО","Калужская-walk-3,Воронцовская-walk-6",110842000,314.0,11,,,"ID: L8364<br>Эксклюзивное предложение! Лучшее инвестиционное предложение на рынке!<br>В продаже офисный блок 314 м2, четверть этажа, в новом проекте класса А Stone Калужская.<br>Stone Калужская  премиальный офисный квартал, расположенный прямо у выхода из метро ""Калужская"".<br>Уникальная архитектура проекта - три офисные башни, объединенные общим стилобатом. <br>Панорамное остекление. Самые современные инженерные системы. <br>Благоустроенная озелененная территория, связывающая офисные башни с метро.<br>Арт-объект на площади.<br>Транспортная инфраструктура  подземный паркинг, гостевой паркинг, паркинг для каршеринга, велодорожки, станции проката велосипедов и самокатов. <br>Полная инфраструктура от девелопера  кафе и веранды, бизнес-гостиная с кофейней, оборудованный конференц-зал, столовая для резидентов.<br>Выгодные условия приобретения - первый платеж от 10% + отложенный платеж.<br>Также предусмотрена комфортная рассрочка до конца строительства по привлекательной ставке!<br>Ежемесячное повышение цен! Успейте забронировать свой лот по самой выгодной цене!<br>Гарантированный рост стоимости объекта!<br>Звоните прямо сейчас!",Нелля Имаметдинова,"https://images.cdn-cian.ru/images/2241986108-1.jpg,https://images.cdn-cian.ru/images/2241986146-1.jpg,https://images.cdn-cian.ru/images/2241986156-1.jpg,https://images.cdn-cian.ru/images/2241986172-1.jpg,https://images.cdn-cian.ru/images/2241986188-1.jpg,https://images.cdn-cian.ru/images/2241986209-1.jpg,https://images.cdn-cian.ru/images/2241986259-1.jpg,https://images.cdn-cian.ru/images/2241986279-1.jpg,https://images.cdn-cian.ru/images/2241986301-1.jpg,https://images.cdn-cian.ru/images/2241986332-1.jpg,https://images.cdn-cian.ru/images/2241986372-1.jpg",included,2024-08-12T07:52:34+00:00,2025-03-22T14:02:09+03:00,2025-03-11 19:40:07 +0300,55.658479,37.537703,Нелля Имаметдинова,true,realtor_based,,specialist,Praedium,hide,true,,sale,businessCenter,,Офис класса A  ·  314 м²  ·  11/23 этаж,Офис класса A  ·  11/23 этаж,false,officeSale
306922290,https://www.cian.ru/sale/commercial/306922290/,Офис класса C  ·  915 м²  ·  7/15 этаж,"Москва, СВАО, р-н Марьина роща, проезд 3-й Марьиной рощи, 40С1","Россия, г Москва, проезд Марьиной Рощи 3-й, д 40 к 11 стр 1","р-н Марьина роща, СВАО","Марьина Роща-walk-7,Марьина Роща-walk-8,Савёловская-walk-18",109800000,915.0,7,,,"Продается офисное помещение на 7 этаже (этаж целиком) в административном здании, С класса, которое находится по адресу: проезд Марьиной Рощи 3-й, д. 40, к. 11, стр. 1.<br>Шаговая доступность от м. Марьина роща, Савеловская. Удобный выезд на ТТК.<br>В помещении стандартная офисная отделка, кабинетная планировка, сплит-системы и приточно-вытяжная система вентиляции. В наличии наземная парковка (7 000 руб. в месяц за м/место). Условия сделки и стоимость подлежат обсуждению.",Анна Иванова,"https://images.cdn-cian.ru/images/2375456764-1.jpg,https://images.cdn-cian.ru/images/2375456801-1.jpg,https://images.cdn-cian.ru/images/2375456845-1.jpg,https://images.cdn-cian.ru/images/2375456880-1.jpg,https://images.cdn-cian.ru/images/2260081682-1.jpg,https://images.cdn-cian.ru/images/2260081700-1.jpg,https://images.cdn-cian.ru/images/2260081708-1.jpg,https://images.cdn-cian.ru/images/2260081717-1.jpg,https://images.cdn-cian.ru/images/2260081720-1.jpg,https://images.cdn-cian.ru/images/2260081729-1.jpg,https://images.cdn-cian.ru/images/2260081730-1.jpg,https://images.cdn-cian.ru/images/2260081737-1.jpg,https://images.cdn-cian.ru/images/2260081742-1.jpg",included,2024-09-05T10:02:52+00:00,2025-03-22T11:55:39+03:00,2025-03-11 19:40:07 +0300,55.796471,37.609919,Анна Иванова,true,realtor_based,,specialist,Officepoints,hide,false,,sale,administrativeBuilding,,Офис класса C  ·  915 м²  ·  7/15 этаж,Офис класса C  ·  7/15 этаж,false,officeSale
313445713,https://www.cian.ru/sale/commercial/313445713/,"Офис класса A  ·  266,7 м²  ·  11/12 этаж","Москва, СВАО, р-н Бутырский, Огородный проезд, 16/1с2","Россия, г Москва, Огородный проезд, д 16 стр 1","р-н Бутырский, СВАО","Бутырская-walk-2,Останкино-walk-8,Фонвизинская-walk-16",107034444,266.7,11,,,"Продается офисное помещение на 11 этаже в бизнес-центре Останкино Бизнес Парк (корпус 1), А класса, который находится по адресу: Огородный проезд, д. 16, стр. 1.<br>В пешей доступности находятся остановки общественного транспорта, а также станции метро Бутырская и Фонвизинская. Ближайшая станция МЦД-3 Останкино. Транспортная доступность обеспечивается Дмитровским шоссе, а также близостью ТТК и Северо-восточная хорда.<br>Помещение без отделки (Shell&Core), открытая планировка. Приточно-вытяжная система вентиляции, центральная система кондиционирования. Наземная парковка.<br>Условия сделки и стоимость подлежат обсуждению.",Анна Иванова,"https://images.cdn-cian.ru/images/2396598664-1.jpg,https://images.cdn-cian.ru/images/2396598676-1.jpg,https://images.cdn-cian.ru/images/2396598688-1.jpg,https://images.cdn-cian.ru/images/2396598711-1.jpg,https://images.cdn-cian.ru/images/2396598736-1.jpg,https://images.cdn-cian.ru/images/2396598764-1.jpg,https://images.cdn-cian.ru/images/2396598781-1.jpg",usn,2025-02-09T22:14:11+00:00,2025-03-23T23:42:05+03:00,2025-03-11 19:40:07 +0300,55.815306,37.604044,Анна Иванова,true,realtor_based,,specialist,Officepoints,hide,false,,sale,businessCenter,,"Офис класса A  ·  266,7 м²  ·  11/12 этаж",Офис класса A  ·  11/12 этаж,false,officeSale
312628590,https://www.cian.ru/sale/commercial/312628590/,"Офис класса B  ·  666,1 м²  ·  4/22 этаж","Москва, ЦАО, р-н Басманный, Рубцовская наб., 3С1","Россия, г Москва, Рубцовская наб, д 3 стр 1","р-н Басманный, ЦАО","Электрозаводская-walk-15,Бауманская-transport-4,Семёновская-transport-4",106576000,666.1,4,,,"Продается офисное помещение на 4 этаже (этаж целиком) в бизнес-центре Рублевский В класса, который находится по адресу Рубцовская наб, д 3 стр 1.<br>Шаговая доступность от м. Электрозаводская, Бауманская и Семеновская. Удобный выезд на Третье транспортное кольцо.<br>В помещении качественная отделка, открытая планировка, естественная система вентиляции, сплит-система кондиционирования, большие панорамные окна открывают приятные панорамные виды, высокие потолки (5 м), сан. узел располагается на этаже. Переговорная комната оборудована на каждом этаже; современные инженерные системы. В наличии наземная и городская парковки. <br>Условия сделки и стоимость подлежат обсуждению.",Анастасия Гончарова,"https://images.cdn-cian.ru/images/2400320973-1.jpg,https://images.cdn-cian.ru/images/2379555329-1.jpg,https://images.cdn-cian.ru/images/2379555374-1.jpg,https://images.cdn-cian.ru/images/2379555416-1.jpg,https://images.cdn-cian.ru/images/2379555446-1.jpg,https://images.cdn-cian.ru/images/2379555475-1.jpg,https://images.cdn-cian.ru/images/2379555528-1.jpg,https://images.cdn-cian.ru/images/2379555554-1.jpg,https://images.cdn-cian.ru/images/2379555582-1.jpg,https://images.cdn-cian.ru/images/2379555607-1.jpg",usn,2025-01-21T17:28:38+00:00,2025-02-26T02:41:47+03:00,2025-03-11 19:40:07 +0300,55.776618,37.699975,Анастасия Гончарова,true,realtor_based,,specialist,Officepoints,hide,false,,sale,businessCenter,,"Офис класса B  ·  666,1 м²  ·  4/22 этаж",Офис класса B  ·  4/22 этаж,false,officeSale
